outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,sample,sample_order
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,high_clustering,estimated,-0.21544280308246,0.0465467896020711,0.0000383595122890008,-0.237119465461456,0.0371971449321794,0.00000014057731037722,-0.0216766623789963,10.0614465040634,-0.00934964466989167,0.968504814905974,18642,High clustering,3
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,high_clustering,estimated,-0.252039945813112,0.0367027715470961,0.000000273407616191339,-0.259169480331574,0.028069441346431,0.00000000108682384728114,-0.00712953451846149,2.8287319676493,-0.00863333020066511,0.924700016520222,18644,High clustering,3
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,none,No FE,1,high_irregularity,estimated,-0.244143425764353,0.00203394307179209,0,-0.245597400962185,0.00202824531966721,0,-0.00145397519783241,0.595541409022338,-0.00000569775212487956,,61777,Most irregular,4
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa3,SA3,2,high_irregularity,estimated,-0.280322350323918,0.125192094951889,0.0306347999503278,-0.257071995174427,0.131249763202027,0.0569801355672073,0.0232503551494911,-8.29414961833218,0.00605766825013826,0.994230764377764,61777,Most irregular,4
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa4,SA4,3,high_irregularity,estimated,-0.302808832439854,0.0722800426970989,0.000267698988793101,-0.296843488134593,0.064956757485127,0.0000967468911495649,0.00596534430526113,-1.97000340353216,-0.00732328521197191,0.972039793151304,61777,Most irregular,4
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,high_irregularity,estimated,-0.157759214443245,0.00305948646307681,0,-0.15799595120675,0.00302660188101519,0,-0.000236736763505441,0.150062083118829,-0.0000328845820616189,,15082,Most irregular,4
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,high_irregularity,estimated,-0.132133233042676,0.0832420966307981,0.120310929317063,-0.120540742444958,0.0778923368417189,0.129611769325713,0.011592490597718,-8.77333455844064,-0.00534975978907924,0.991953769474837,15080,Most irregular,4
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,high_irregularity,estimated,-0.240549423794007,0.0523029459177965,0.0000894310069307698,-0.236184963912781,0.0488132911422989,0.0000470054257555566,0.00436445988122533,-1.81437137216459,-0.00348965477549758,0.950716850623434,15081,Most irregular,4
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,none,No FE,1,low_residential,estimated,-0.196558812814329,0.00322671938646029,0,-0.195242455699217,0.00324748069918554,0,0.00131635711511224,-0.669701396882005,0.0000207613127252405,,45636,Low residential share,5
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa3,SA3,2,low_residential,estimated,0.0296843725629096,0.0924600396347804,0.749802735458611,0.100017139966388,0.101309389927109,0.329313388249466,0.0703327674034785,236.935334423605,0.00884935029232826,0.986024612760236,45636,Low residential share,5
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa4,SA4,3,low_residential,estimated,-0.109631862670229,0.0884980068013571,0.227911596207515,-0.0714919607844196,0.0830022491729725,0.397949687888315,0.0381399018858091,-34.7890667520021,-0.00549575762838465,0.946809120438121,45636,Low residential share,5
