outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,bootstrap_se,ci_low,ci_high,p_value_delta,clusters,global_fdr_q,within_outcome_fdr_q,relative_ci_low,relative_ci_high,absorption_percent
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,sa3,SA3,2,full,estimated,0.0195462534708516,0.00306271121393629,0.000000123800174763277,0.00873287205694213,0.00452422851092991,0.0605135267686138,-0.0108133814139095,-55.3220157000162,0.00146151729699361,0.428905432798681,281194,0.00420760770384367,-0.0188651584096561,-0.00278551873350907,0.007,621,0.0205116279069767,0.018,-96.5154700249273,-14.2509086852014,42.8905432798681
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,sa4,SA4,3,full,estimated,0.0275664686084983,0.00452041563499582,0.00000163388575004431,0.00573297876045112,0.00642435079161052,0.38007259945455,-0.0218334898480472,-79.2030715218861,0.0019039351566147,0.291998907753051,281194,0.00583415447656554,-0.033337070469739,-0.0102170420470505,0.001,621,0.0043448275862069,0.0045,-120.93340987268,-37.0632966890101,29.1998907753051
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,estimated,0.0477570719777276,0.00117160920691529,0,0.0209379412159549,0.00102467377502208,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177171879125008,-0.0268191307617727,-56.157401723205,-0.000146935431893212,,58217,0.0106612622050456,-0.0463390159505093,-0.00578769255400752,0.007,560,0.0205116279069767,0.018,-97.0306889252347,-12.1190272232492,
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.0204719930716891,0.00541443552050952,0.000511053635641657,0.0100423725777077,0.0101498444811019,0.328409445866009,-0.0104296204939814,-50.9457992558851,0.00473540896059234,0.589331745343237,58216,0.00735201361822307,-0.0243068788319795,0.00326816495748271,0.162,560,0.281342465753425,0.2934,-118.732351788423,15.9640780750473,58.9331745343237
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,estimated,0.0275528394880778,0.00559012341366566,0.0000368742523823636,0.00976210323779415,0.0100577314037772,0.340359409756047,-0.0177907362502837,-64.5695201686264,0.00446760799011152,0.419364425621899,58216,0.0072449884562432,-0.0314265413696828,-0.00441139633151047,0.011,560,0.0315,0.02475,-114.059174856665,-16.0106777140675,41.9364425621899
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,none,No FE,1,full,estimated,0.0473005484345705,0.000499451731373041,0,0.0438285285555367,0.000525932714004057,0,-0.00347201987903389,-7.34033746741147,0.0000264809826310161,,281076,0.00793851943749021,-0.018869388290768,0.0122487925624719,0.665,596,0.790471698113208,0.749647058823529,-39.8925359541434,25.8956671071484,
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,sa3,SA3,2,full,estimated,0.0195358408974266,0.00306195668218392,0.000000124543204015275,0.0150590165664226,0.00571547889783217,0.0118274581736034,-0.00447682433100404,-22.9159540892542,0.00265352221564825,0.628028676986021,281076,0.00479540958870928,-0.0138382253891596,0.00445275174546194,0.391,596,0.562891304347826,0.5865,-70.8350639310462,22.7927314152548,62.8028676986021
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,sa4,SA4,3,full,estimated,0.0275533504803719,0.00451717940047293,0.00000162761105105745,0.0256435294468173,0.00492140125461223,0.0000173008216895475,-0.00190982103355465,-6.93135680510123,0.000404221854139302,0.475643402219795,281076,0.0051234693647747,-0.0117806085833262,0.00801433257855075,0.708,596,0.818422018348624,0.749647058823529,-42.755629997587,29.0865990481263,47.5643402219795
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,estimated,0.0476716025882951,0.00117157800564601,0,0.0351717792105148,0.000958075041881652,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107699467399219,-0.0124998233777802,-26.2206905140826,-0.000213502963764355,,58204,0.00951858271237406,-0.0311635648956175,0.00648500653060949,0.189,421,0.321810810810811,0.309272727272727,-65.3713389179603,13.6035001521048,
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.0204409057617392,0.00541628566541978,0.000521771548676972,0.0297691634304753,0.00760676545342775,0.000344714532965567,0.00932825766873611,45.6352461944056,0.00219047978800797,0.724559704222113,58203,0.00667328472943527,-0.00339327060673046,0.0221868170659538,0.163,421,0.281342465753425,0.2934,-16.6003925965057,108.541261940959,72.4559704222113
